"System","Type","Name","SubName","Datatype","Description"
"zendesk","identities","created_at","","string",""
"zendesk","identities","deliverable_state","","string",""
"zendesk","identities","id","","integer",""
"zendesk","identities","primary","","boolean",""
"zendesk","identities","type","","string",""
"zendesk","identities","undeliverable_count","","integer",""
"zendesk","identities","updated_at","","string",""
"zendesk","identities","url","","string",""
"zendesk","identities","user_id","","integer",""
"zendesk","identities","value","","string",""
"zendesk","identities","verified","","boolean",""
"zendesk","organizations","created_at","","string",""
"zendesk","organizations","details","","string",""
"zendesk","organizations","domain_names","","array",""
"zendesk","organizations","external_id","","string",""
"zendesk","organizations","group_id","","integer",""
"zendesk","organizations","id","","integer",""
"zendesk","organizations","name","","string",""
"zendesk","organizations","notes","","None",""
"zendesk","organizations","shared_comments","","boolean",""
"zendesk","organizations","shared_tickets","","boolean",""
"zendesk","organizations","tags","","array",""
"zendesk","organizations","updated_at","","string",""
"zendesk","organizations","url","","string",""
"zendesk","ticketcomments","attachments","","array",""
"zendesk","ticketcomments","audit_id","","integer",""
"zendesk","ticketcomments","author_id","","integer",""
"zendesk","ticketcomments","body","","string",""
"zendesk","ticketcomments","created_at","","string",""
"zendesk","ticketcomments","html_body","","string",""
"zendesk","ticketcomments","id","","integer",""
"zendesk","ticketcomments","metadata.notifications_suppressed_for","","array",""
"zendesk","ticketcomments","metadata.system.client","","string",""
"zendesk","ticketcomments","metadata.system.ip_address","","string",""
"zendesk","ticketcomments","metadata.system.latitude","","decimal",""
"zendesk","ticketcomments","metadata.system.location","","string",""
"zendesk","ticketcomments","metadata.system.longitude","","decimal",""
"zendesk","ticketcomments","plain_body","","string",""
"zendesk","ticketcomments","public","","boolean",""
"zendesk","ticketcomments","type","","string",""
"zendesk","ticketcomments","via.channel","","string",""
"zendesk","ticketcomments","via.source.rel","","null",""
"zendesk","ticketcomments","via.source.to.address","","string",""
"zendesk","ticketcomments","via.source.to.name","","string",""
"zendesk","tickets","allow_attachments","","boolean",""
"zendesk","tickets","allow_channelback","","boolean",""
"zendesk","tickets","assignee_id","","None",""
"zendesk","tickets","brand_id","","integer",""
"zendesk","tickets","collaborator_ids","","array",""
"zendesk","tickets","created_at","","string",""
"zendesk","tickets","custom_fields","","array",""
"zendesk","tickets","custom_status_id","","integer",""
"zendesk","tickets","description","","string",""
"zendesk","tickets","due_at","","string",""
"zendesk","tickets","email_cc_ids","","array",""
"zendesk","tickets","external_id","","string",""
"zendesk","tickets","follower_ids","","array",""
"zendesk","tickets","followup_ids","","array",""
"zendesk","tickets","forum_topic_id","","integer",""
"zendesk","tickets","from_messaging_channel","","boolean",""
"zendesk","tickets","group_id","","integer",""
"zendesk","tickets","has_incidents","","boolean",""
"zendesk","tickets","id","","integer",""
"zendesk","tickets","is_public","","boolean",""
"zendesk","tickets","organization_id","","None",""
"zendesk","tickets","priority","","string",""
"zendesk","tickets","problem_id","","integer",""
"zendesk","tickets","raw_subject","","string",""
"zendesk","tickets","recipient","","string",""
"zendesk","tickets","requester_id","","integer",""
"zendesk","tickets","sharing_agreement_ids","","array",""
"zendesk","tickets","status","","string",""
"zendesk","tickets","subject","","string",""
"zendesk","tickets","submitter_id","","integer",""
"zendesk","tickets","tags","","array",""
"zendesk","tickets","ticket_form_id","","integer",""
"zendesk","tickets","type","","None",""
"zendesk","tickets","updated_at","","string",""
"zendesk","tickets","url","","string",""
"zendesk","tickets","via.channel","","string",""
"zendesk","tickets","via.source.rel","","null",""
"zendesk","users","active","","boolean",""
"zendesk","users","alias","","string",""
"zendesk","users","created_at","","string",""
"zendesk","users","custom_role_id","","None",""
"zendesk","users","default_group_id","","None",""
"zendesk","users","details","","string",""
"zendesk","users","email","","string",""
"zendesk","users","external_id","","string",""
"zendesk","users","iana_time_zone","","string",""
"zendesk","users","id","","integer",""
"zendesk","users","last_login_at","","None",""
"zendesk","users","locale","","string",""
"zendesk","users","locale_id","","integer",""
"zendesk","users","moderator","","boolean",""
"zendesk","users","name","","string",""
"zendesk","users","notes","","string",""
"zendesk","users","only_private_comments","","boolean",""
"zendesk","users","organization_id","","None",""
"zendesk","users","phone","","None",""
"zendesk","users","photo","","None",""
"zendesk","users","report_csv","","boolean",""
"zendesk","users","restricted_agent","","boolean",""
"zendesk","users","role","","string",""
"zendesk","users","role_type","","None",""
"zendesk","users","shared","","boolean",""
"zendesk","users","shared_agent","","boolean",""
"zendesk","users","shared_phone_number","","None",""
"zendesk","users","signature","","string",""
"zendesk","users","suspended","","boolean",""
"zendesk","users","tags","","array",""
"zendesk","users","ticket_restriction","","None",""
"zendesk","users","time_zone","","string",""
"zendesk","users","two_factor_auth_enabled","","None",""
"zendesk","users","updated_at","","string",""
"zendesk","users","url","","string",""
"zendesk","users","verified","","boolean",""
